value_order;code;label;value
500;PROFESSION_1_482;gardien(ne) - veilleur de nuit;gardien(ne) - veilleur de nuit
500;PROFESSION_1_484;gargotier/dibitier;gargotier/dibitier
500;PROFESSION_1_485;garnisseur(euse) de rayons;garnisseur(euse) de rayons
500;PROFESSION_1_486;gendarme;gendarme
500;PROFESSION_1_487;général(e) d'armée;général(e) d'armée
500;PROFESSION_1_488;général(e) de brigade;général(e) de brigade
500;PROFESSION_1_489;général(e) de corps d'armée;général(e) de corps d'armée
500;PROFESSION_1_490;général(e) de division;général(e) de division
500;PROFESSION_1_491;géographe;géographe
500;PROFESSION_1_492;géomètre agréé(e);géomètre agréé(e)
500;PROFESSION_1_493;gérant(e) de commerce;gérant(e) de commerce
500;PROFESSION_1_494;gérant(e) hôtel, restaurant, commerce;gérant(e) hôtel, restaurant, commerce
500;PROFESSION_1_495;gestionnaire des hôpitaux;gestionnaire des hôpitaux
500;PROFESSION_1_496;gouvernant(e);gouvernant(e)
500;PROFESSION_1_497;gouverneur(e), haut commissaire;gouverneur(e), haut commissaire
500;PROFESSION_1_498;graphiste;graphiste
500;PROFESSION_1_499;graveurs(euse);graveurs(euse)
500;PROFESSION_1_500;gréeur, episseur de câbles;gréeur, episseur de câbles
500;PROFESSION_1_501;greffier;greffier
500;PROFESSION_1_502;guichetier;guichetier
500;PROFESSION_1_503;guide touristique;guide touristique
500;PROFESSION_1_504;gynécologue;gynécologue
500;PROFESSION_1_505;herboriste;herboriste
500;PROFESSION_1_506;historien(ne);historien(ne)
500;PROFESSION_1_507;horticulteur;horticulteur
500;PROFESSION_1_508;hôtesse;hôtesse
500;PROFESSION_1_509;huissier;huissier
500;PROFESSION_1_510;hygiéniste et spécialiste de la santé au travail;hygiéniste et spécialiste de la santé au travail
500;PROFESSION_1_512;imprimeur;imprimeur
500;PROFESSION_1_513;infirmier(e);infirmier(e)
500;PROFESSION_1_514;infirmier(e) d'état;infirmier(e) d'état
500;PROFESSION_1_516;infirmier(e) vétérinaire;infirmier(e) vétérinaire
500;PROFESSION_1_520;ingénieur agricole;ingénieur agricole
500;PROFESSION_1_521;ingénieur agronome;ingénieur agronome
500;PROFESSION_1_522;ingénieur(e) astronome;ingénieur(e) astronome
500;PROFESSION_1_523;ingénieur(e) chimiste;ingénieur(e) chimiste
500;PROFESSION_1_524;ingénieur btp;ingénieur btp
500;PROFESSION_1_525;ingénieur des mines;ingénieur des mines
500;PROFESSION_1_526;ingénieur réseau télécom;ingénieur réseau télécom
500;PROFESSION_1_527;ingénieur télécom;ingénieur télécom
500;PROFESSION_1_528;ingénieur électro mécanicien;ingénieur électro mécanicien
500;PROFESSION_1_529;ingénieur électronicien(ne);ingénieur électronicien(ne)
500;PROFESSION_1_530;ingénieur conseil;ingénieur conseil
500;PROFESSION_1_531;ingénieur forestier(e);ingénieur forestier(e)
500;PROFESSION_1_532;ingénieur frigoriste;ingénieur frigoriste
500;PROFESSION_1_533;ingénieur géologue;ingénieur géologue
500;PROFESSION_1_534;ingénieur(e) hydrologiste;ingénieur(e) hydrologiste
500;PROFESSION_1_535;ingénieur mécanicien(ne);ingénieur mécanicien(ne)
500;PROFESSION_1_536;ingénieur de son;ingénieur de son
500;PROFESSION_1_537;ingénieur météo;ingénieur météo
500;PROFESSION_1_538;ingénieur(e) naval;ingénieur(e) naval
500;PROFESSION_1_539;ingénieur(e) physicien;ingénieur(e) physicien
500;PROFESSION_1_540;ingénieur sanitaire;ingénieur sanitaire
500;PROFESSION_1_541;ingénieur(e) sidérurgiste;ingénieur(e) sidérurgiste
500;PROFESSION_1_542;ingénieur statisticien(ne);ingénieur statisticien(ne)
500;PROFESSION_1_543;ingénieur génie civil;ingénieur génie civil
500;PROFESSION_1_544;ingénieur génie rural;ingénieur génie rural
500;PROFESSION_1_545;ingénieurs(es) écologistes;ingénieurs(es) écologistes
500;PROFESSION_1_546;ingénieurs(es), ponts et chaussées;ingénieurs(es), ponts et chaussées
500;PROFESSION_1_547;inspecteur(e) de la jeunesse et des sports;inspecteur(e) de la jeunesse et des sports
500;PROFESSION_1_548;inspecteur(e) de police;inspecteur(e) de police
500;PROFESSION_1_549;inspecteur(e) d'enseignement;inspecteur(e) d'enseignement
500;PROFESSION_1_550;inspecteur(e) des affaires administratives;inspecteur(e) des affaires administratives
500;PROFESSION_1_551;inspecteur(e) des B.T.P.;inspecteur(e) des B.T.P.
500;PROFESSION_1_552;inspecteur(rice) de douane;inspecteur(rice) de douane
500;PROFESSION_1_553;inspecteur(e) des impôts;inspecteur(e) des impôts
500;PROFESSION_1_554;inspecteur(e) des industries manufacturées;inspecteur(e) des industries manufacturées
500;PROFESSION_1_555;inspecteur(e) des mines;inspecteur(e) des mines
500;PROFESSION_1_556;inspecteur(rice) d'éducation;inspecteur(rice) d'éducation
500;PROFESSION_1_557;inspecteur(e) du travail;inspecteur(e) du travail
